,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
19,31768,650.954,220.9594949,183.2920681,1.205504947,0.558465259,32173,201.1175623,0.777674419,0.987411805,0.94210463,0.910201041,0.006955411,0.002944773,0.828465935,0.998719784,SEKER
20,31821,649.681,213.7356452,189.9692019,1.125106823,0.458286561,32168,201.2852592,0.772354369,0.989212882,0.947378132,0.941748668,0.006716811,0.003258989,0.886890554,0.997846613,SEKER
21,31823,662.532,222.8726889,181.8946963,1.225284154,0.57785815,32274,201.2915846,0.774847821,0.986025903,0.91103962,0.903168466,0.00700351,0.002874555,0.815713278,0.999480554,SEKER
22,31915,640.718,216.3203615,188.0653069,1.150240653,0.494138341,32184,201.5823407,0.777655945,0.99164181,0.976946683,0.93186947,0.006778015,0.003152845,0.868380709,0.998846794,SEKER
23,31972,639.974,213.6874805,190.6449473,1.120866215,0.451705439,32246,201.7622728,0.772270531,0.991502822,0.980968377,0.944193232,0.006683582,0.003276669,0.891500859,0.999253193,SEKER
24,31994,654.535,212.1713961,192.4225318,1.102632806,0.421302377,32391,201.8316774,0.789741311,0.987743509,0.938453277,0.951267141,0.0066316,0.003349716,0.904909174,0.997782541,SEKER
25,32015,653.676,212.9299893,191.8101346,1.110108127,0.43420694,32375,201.897905,0.761880964,0.988880309,0.941538949,0.948189147,0.006650945,0.003316218,0.899062659,0.998056765,SEKER
26,32038,645.085,224.4823211,181.9408668,1.233820224,0.5857513,32308,201.970415,0.770514671,0.991642937,0.967478615,0.899716352,0.007006752,0.002832168,0.809489514,0.998764533,SEKER
27,32044,652.651,216.1471468,188.9705403,1.143813985,0.48544352,32395,201.9893264,0.778069153,0.989164995,0.945354229,0.934499156,0.006745324,0.003173206,0.873288673,0.998879798,SEKER
28,32066,669.313,236.436655,173.2308993,1.364864213,0.680580172,32481,202.058653,0.780878628,0.9872233,0.899489569,0.854599524,0.007373438,0.002426053,0.730340347,0.996815403,SEKER
29,32109,663.582,224.4723523,182.3644962,1.230899418,0.583080944,32567,202.1940863,0.767625332,0.985936684,0.9163206,0.90075274,0.006990948,0.002838822,0.811355498,0.998697011,SEKER
30,32167,654.893,217.960517,188.2047159,1.158103377,0.504381753,32521,202.3766203,0.76059302,0.989114726,0.942496457,0.928501286,0.006775904,0.003106541,0.862114638,0.998417873,SEKER
31,32213,658.216,221.4811143,185.2954324,1.195286422,0.547784367,32585,202.5212716,0.762907351,0.988583704,0.934338332,0.914395217,0.00687552,0.002964975,0.836118613,0.999401225,SEKER
32,32233,665.493,221.2336837,185.5923729,1.192040817,0.54428951,32710,202.5841313,0.775204425,0.985417304,0.91458402,0.915702021,0.006863577,0.002976782,0.838510191,0.999538373,SEKER
33,32251,644.051,220.9809628,186.0277835,1.187892253,0.539747143,32514,202.6406883,0.764060649,0.991911177,0.977040422,0.917005183,0.00685191,0.002988674,0.840898506,0.998896821,SEKER
34,32262,652.419,222.6986563,184.5129929,1.206953791,0.559941518,32563,202.6752432,0.781313572,0.99075638,0.952462642,0.910087409,0.006902816,0.002921047,0.828259093,0.999670452,SEKER
35,32279,646.556,218.1816038,188.5531418,1.15713587,0.503143726,32623,202.7286345,0.790183599,0.989455292,0.970325944,0.929173821,0.006759243,0.00310789,0.86336399,0.999029442,SEKER
36,32338,653.602,221.4113413,186.136273,1.189512059,0.541530905,32672,202.9138251,0.782490866,0.989777179,0.951253518,0.916456329,0.006846785,0.002979295,0.839892203,0.999061903,SEKER
37,32355,657.166,221.279621,186.3604099,1.18737462,0.539174328,32720,202.9671537,0.783793605,0.988844743,0.941458316,0.917242866,0.006839117,0.002986188,0.841334475,0.998979202,SEKER
38,32376,643.009,219.1300137,188.3004274,1.163725525,0.511456521,32608,203.0330109,0.784302326,0.992885182,0.984008731,0.926541314,0.006768286,0.00307693,0.858478807,0.9990337,SEKER
39,32433,653.76,219.8366971,188.0092368,1.169286684,0.518261408,32775,203.2116585,0.769320176,0.989565217,0.953586944,0.924375508,0.00677818,0.003052717,0.854470079,0.999120486,SEKER
40,32514,649.012,221.4454899,187.1344232,1.183349841,0.534673644,32843,203.4652564,0.7849831,0.989982645,0.970006874,0.918805149,0.006810774,0.002994125,0.844202902,0.99898737,SEKER
41,32518,651.651,221.2627854,187.2561106,1.181605154,0.532696427,32811,203.4777716,0.758915235,0.991070068,0.962284651,0.919620402,0.006804317,0.003001917,0.845701683,0.999285467,SEKER
42,32525,663.914,225.0778556,184.2147342,1.221823306,0.574579254,33000,203.4996712,0.769057978,0.985606061,0.927264249,0.904130132,0.006920149,0.002852456,0.817451295,0.998781044,SEKER
43,32578,657.571,227.037574,182.8423057,1.241712486,0.592813998,32901,203.6654067,0.781922043,0.990182669,0.946779791,0.89705595,0.006969046,0.002783756,0.804709378,0.999217682,SEKER
44,32615,664.789,218.1467463,191.002277,1.142115946,0.483095172,33016,203.7810289,0.808562858,0.987854374,0.927383997,0.934146543,0.00668854,0.003141747,0.872629764,0.996644368,SEKER
45,32622,657.009,235.2708698,177.1581895,1.328027061,0.658024288,32902,203.802896,0.779311992,0.991489879,0.949681133,0.866247896,0.007212031,0.002504991,0.750385418,0.996532141,SEKER
46,32705,654.454,223.8758675,186.1499298,1.20266426,0.555543833,33021,204.0619987,0.779469946,0.990430332,0.959545923,0.911496183,0.00684531,0.00291469,0.830825292,0.999203884,SEKER
47,32713,660.043,215.4163208,193.4864621,1.113340533,0.43959156,33020,204.0869551,0.799516082,0.990702604,0.943595321,0.947407115,0.006585037,0.003272537,0.897580242,0.999312465,SEKER
48,32774,660.614,222.8700513,187.4792477,1.188771846,0.540717403,33120,204.2771471,0.790153816,0.98955314,0.943721321,0.916575134,0.006800209,0.002960563,0.840109976,0.998699087,SEKER
49,32775,649.807,220.0250995,189.8094038,1.159189666,0.505764488,33062,204.2802636,0.772630835,0.991319339,0.975402341,0.928440728,0.006713199,0.00307699,0.862002186,0.999224026,SEKER
50,32796,654.824,223.1453687,187.4192621,1.190621317,0.542744878,33111,204.3456976,0.800820453,0.990486545,0.961128742,0.915751462,0.006804042,0.002951598,0.83860074,0.998455917,SEKER
51,32799,653.729,219.9055494,190.1123396,1.156713709,0.502601593,33087,204.3550436,0.746177996,0.991295675,0.964439446,0.929285523,0.006704642,0.003084267,0.863571584,0.998905089,SEKER
52,32836,669.19,218.4060038,191.7587728,1.138962252,0.478674896,33225,204.4702758,0.80291471,0.988291949,0.92142762,0.936193476,0.006651419,0.003151785,0.876458224,0.998252833,SEKER
53,32849,664.105,230.7223076,181.7436855,1.269492841,0.616038378,33245,204.5107474,0.746568182,0.988088434,0.935962647,0.886393473,0.007023724,0.002674566,0.785693388,0.997432131,SEKER
54,32885,659.728,227.0674037,184.5596932,1.230319577,0.582547095,33225,204.6227808,0.785669916,0.989766742,0.949462632,0.90115436,0.006904893,0.002808882,0.81207918,0.999116914,SEKER
55,32920,671.612,219.0931338,191.4622125,1.144315272,0.486132629,33376,204.7316434,0.777974713,0.986337488,0.917134004,0.934450294,0.00665532,0.00313021,0.873197353,0.999213067,SEKER
56,32934,668.197,221.4087308,189.6018111,1.167756413,0.516407505,33401,204.7751722,0.776708646,0.986018383,0.926926508,0.924873972,0.006722801,0.003034312,0.855391863,0.998889334,SEKER
57,32947,668.231,209.6932927,200.2495993,1.047159612,0.296720861,33336,204.8155836,0.765319396,0.988330934,0.927198033,0.97673884,0.006364564,0.003573241,0.954018762,0.999009917,SEKER
58,32988,676.797,224.7517099,187.1772945,1.20074238,0.553546741,33461,204.9429826,0.766699205,0.98586414,0.905000877,0.911863953,0.006813135,0.002905675,0.831495868,0.998412327,SEKER
59,33006,669.769,223.5277491,188.2429412,1.187442927,0.539249994,33458,204.9988888,0.757018349,0.986490525,0.924597414,0.917107114,0.006772337,0.002955279,0.841085458,0.998740978,SEKER
60,33013,652.684,223.7818539,188.0291423,1.190144523,0.542223823,33289,205.020626,0.789784689,0.991708973,0.973842946,0.916162872,0.006778598,0.002945848,0.839354409,0.998953052,SEKER
61,33019,655.703,224.4502114,187.5026272,1.197051022,0.549663318,33340,205.0392561,0.764328704,0.990371926,0.965071386,0.913517768,0.006797608,0.002920141,0.834514712,0.998956688,SEKER
62,33058,655.511,224.4458788,187.8781612,1.194635275,0.547087283,33320,205.1603102,0.799274662,0.992136855,0.96677736,0.914074748,0.006789457,0.00292376,0.835532645,0.998156772,SEKER
63,33062,667.966,222.0391436,189.7813412,1.169973519,0.51908899,33439,205.1727219,0.77866227,0.988725739,0.931172778,0.924038522,0.006715841,0.003020233,0.853847189,0.998978601,SEKER
64,33078,652.214,221.3869025,190.3548121,1.163022358,0.510582618,33327,205.2223615,0.772417336,0.99252858,0.977167183,0.926985107,0.006692874,0.003048481,0.859301388,0.999386727,SEKER
65,33089,663.915,217.3358221,194.2070489,1.119093377,0.448903019,33466,205.2564817,0.774410223,0.988734835,0.94334064,0.944420849,0.00656822,0.003223218,0.891930741,0.998153785,SEKER
66,33143,648.385,222.5263095,189.7373793,1.172812181,0.522480157,33377,205.4238989,0.769979556,0.992989184,0.9906854,0.923144321,0.006714127,0.003007791,0.852195437,0.999465189,SEKER
67,33159,653.801,222.4440287,189.98042,1.170878708,0.520175444,33415,205.4734778,0.788111423,0.99233877,0.974810341,0.923708669,0.006708406,0.003012584,0.853237706,0.999037863,SEKER
68,33171,654.338,222.253649,190.3614532,1.167534946,0.516138043,33429,205.5106541,0.790237278,0.99228215,0.973563187,0.924667176,0.00670024,0.003021425,0.855009387,0.998253339,SEKER
69,33194,664.658,232.3085443,182.0856017,1.275820505,0.621001572,33520,205.5818899,0.773698809,0.990274463,0.944219534,0.88495191,0.00699851,0.002647671,0.783139883,0.99914592,SEKER
70,33248,660.068,230.9698347,183.4292487,1.259176693,0.607696024,33511,205.7490422,0.787661984,0.992151831,0.958954568,0.890804821,0.006946879,0.002698359,0.793533229,0.999198547,SEKER
71,33251,658.962,217.452163,194.9834825,1.115233763,0.442693503,33565,205.7583245,0.757943925,0.990645017,0.962263101,0.946223398,0.006539718,0.003233803,0.895338718,0.998511968,SEKER
72,33316,670.587,229.2180829,185.2793615,1.237148493,0.588756561,33699,205.9593374,0.782616866,0.988634678,0.931005952,0.898530058,0.00688012,0.002766344,0.807356266,0.998819588,SEKER
73,33319,668.601,225.0172378,188.8365103,1.191598158,0.543808892,33732,205.9686102,0.7960388,0.987756433,0.936629385,0.915345918,0.006753421,0.002924453,0.83785815,0.998390229,SEKER
74,33330,653.776,224.3601667,189.4313875,1.184387496,0.535842011,33580,206.0026068,0.790184922,0.992555092,0.979912348,0.918178168,0.006731478,0.002951196,0.843051148,0.998499238,SEKER
75,33333,679.262,220.5312914,192.7167056,1.144328878,0.486151306,33834,206.0118777,0.772240756,0.98519241,0.907840655,0.934161662,0.006616005,0.003107876,0.87265801,0.998607762,SEKER
76,33344,661.508,225.3180561,188.668526,1.194253546,0.54667768,33692,206.0458672,0.763352487,0.989671139,0.957540959,0.914466735,0.006757379,0.002914941,0.83624941,0.998693823,SEKER
77,33382,659.434,222.8701044,190.920249,1.167346605,0.515908654,33730,206.1632423,0.781688327,0.989682775,0.964671718,0.925037671,0.006676356,0.003015483,0.855694693,0.998892294,SEKER
78,33421,654.804,219.5440823,194.0253903,1.131522436,0.46793088,33691,206.2836368,0.763385107,0.99198599,0.979504999,0.939600078,0.006569046,0.003158306,0.882848306,0.998962666,SEKER
79,33423,659.036,224.1680528,189.9810797,1.179949356,0.530804973,33707,206.289809,0.772982724,0.99157445,0.967023472,0.920246246,0.006707,0.002967046,0.846853153,0.999243833,SEKER
80,33429,658.605,229.4460905,185.6980934,1.235586679,0.587351259,33713,206.3083245,0.791743641,0.99157595,0.968463377,0.899158159,0.006863684,0.00276746,0.808485396,0.998953785,SEKER
81,33431,666.841,219.9074077,193.6804685,1.135413444,0.473606709,33788,206.3144959,0.788708802,0.989434119,0.94474509,0.938188022,0.006577949,0.003143618,0.880196765,0.999387241,SEKER
82,33446,656.077,224.2339338,190.2565986,1.178586895,0.529237524,33713,206.3607759,0.767814509,0.992080206,0.97643744,0.920292359,0.006704357,0.002966471,0.846938026,0.998190058,SEKER
83,33447,664.412,226.1186154,188.7406408,1.198038824,0.550708725,33791,206.3638608,0.770224525,0.989819774,0.952120901,0.912635435,0.006760505,0.002892999,0.832903437,0.997850654,SEKER
84,33468,659.987,224.4599389,189.9543464,1.181652029,0.53274976,33748,206.4286344,0.792329545,0.991703212,0.965536869,0.91966805,0.006706703,0.002959465,0.845789323,0.999428669,SEKER
85,33498,657.523,227.9380769,187.3160543,1.21686354,0.569797937,33745,206.5211327,0.781494961,0.992680397,0.973658914,0.906040516,0.006804528,0.002828579,0.820909416,0.998934738,SEKER
86,33538,658.284,227.5186814,187.9440519,1.210566012,0.563582376,33800,206.6443995,0.760516111,0.992248521,0.972569007,0.908252449,0.006783907,0.002847646,0.82492251,0.998623154,SEKER
87,33539,662.418,223.6835362,191.2006021,1.169889288,0.518987648,33915,206.6474802,0.76426488,0.98891346,0.96049636,0.923838579,0.006669356,0.002996733,0.85347772,0.998474442,SEKER
88,33560,669.259,227.9361768,187.8565921,1.213352027,0.566352488,33897,206.7121649,0.739858907,0.990058117,0.941549974,0.906886164,0.0067919,0.002833885,0.822442514,0.997912291,SEKER
89,33576,666.339,224.5887253,190.4630178,1.179172355,0.529912303,33927,206.7614349,0.761792399,0.989654258,0.950272923,0.920622505,0.006688966,0.002963911,0.847545797,0.999402573,SEKER
90,33584,658.848,223.7351826,191.3544824,1.169218404,0.518178984,33884,206.7860655,0.748056576,0.991146264,0.972236276,0.924244739,0.006661958,0.002998676,0.854228338,0.998779494,SEKER
91,33607,690.171,214.7652972,199.5241432,1.076387518,0.369995763,34162,206.8568621,0.770802752,0.983753879,0.886596875,0.963176382,0.006390493,0.003392637,0.927708744,0.998574112,SEKER
92,33623,659.408,217.371862,197.0837827,1.102941394,0.421848171,33918,206.9060976,0.793238493,0.991302553,0.97171275,0.951853178,0.006464975,0.003273607,0.906024472,0.999291894,SEKER
93,33631,669.076,224.8894003,190.753366,1.178953771,0.52966059,34009,206.9307109,0.762884493,0.988885295,0.94405814,0.92014435,0.006686967,0.002956874,0.846665624,0.998179631,SEKER
94,33717,664.363,231.6225255,185.6531262,1.247609077,0.597950376,33985,207.1951199,0.766225798,0.992114168,0.959948457,0.894537867,0.006869607,0.002713355,0.800197996,0.998334283,SEKER
95,33731,671.696,231.1720126,186.1264562,1.242015871,0.593081148,34073,207.2381313,0.803214668,0.989962727,0.939493017,0.896467219,0.006853399,0.002730382,0.803653475,0.998150371,SEKER
96,33794,665.826,218.999894,196.5777218,1.114062631,0.440779117,34127,207.4315723,0.77773175,0.99024233,0.957917183,0.947176588,0.006480437,0.003217421,0.897143488,0.999474035,SEKER
97,33809,669.341,230.2474971,187.1642998,1.230189184,0.582426873,34143,207.4776031,0.784067718,0.990217614,0.948303455,0.901106877,0.006810243,0.002769795,0.811993604,0.998905748,SEKER
98,33838,661.029,222.9735137,193.4836383,1.152415344,0.497013692,34146,207.5665669,0.782128328,0.99097991,0.973135967,0.930902346,0.006589441,0.003052424,0.866579178,0.998659141,SEKER
99,33845,670.945,226.3816048,190.5214245,1.188221248,0.540110507,34159,207.5880353,0.763926508,0.990807693,0.944779673,0.916982789,0.006688775,0.002917233,0.840857435,0.999124671,SEKER
100,33858,664.46,234.3350014,184.1392916,1.27259641,0.618486935,34142,207.6278992,0.781254326,0.9916818,0.963681409,0.886030247,0.006921112,0.002631175,0.785049599,0.999051301,SEKER
101,33860,683.315,225.5350154,191.5211613,1.177598412,0.528093987,34319,207.6340314,0.77518315,0.986625484,0.911286442,0.920628804,0.00666081,0.002951515,0.847557394,0.998082241,SEKER
102,33866,668.421,230.9311586,186.8608751,1.23584543,0.587584681,34171,207.652427,0.799933862,0.991074303,0.952518888,0.899196229,0.006818968,0.002749896,0.808553858,0.999247591,SEKER
103,33876,666.966,228.1491732,189.1647868,1.20608691,0.559059342,34211,207.6830826,0.788272251,0.990207828,0.95696179,0.910295136,0.006734832,0.002852564,0.828637234,0.999408522,SEKER
104,33946,667.313,231.5425397,187.0289921,1.238003462,0.589522187,34246,207.8975459,0.791226721,0.991239853,0.957942188,0.897880563,0.006820908,0.002734615,0.806189505,0.998065399,SEKER
105,33946,668.564,234.754845,184.2937385,1.273808035,0.619435383,34280,207.8975459,0.761530869,0.990256709,0.954360587,0.885594271,0.006915538,0.002623886,0.784277214,0.999018617,SEKER
106,33961,667.497,233.113834,185.7332978,1.255099849,0.604309903,34279,207.9434735,0.771192406,0.990723183,0.957837195,0.892025454,0.006864163,0.002680874,0.79570941,0.99869476,SEKER
107,33969,666.389,222.3618326,194.7690372,1.141669311,0.482473841,34260,207.9679641,0.764705882,0.99150613,0.961251403,0.935268259,0.006546022,0.003089598,0.874726717,0.998648649,SEKER
108,33993,669.092,219.7505747,197.0923214,1.114962639,0.442251584,34299,208.0414186,0.778228022,0.991078457,0.954174231,0.946716153,0.006464583,0.003203313,0.896271473,0.999309207,SEKER
109,33996,663.743,223.0963581,194.3808765,1.147727915,0.490774479,34285,208.0505986,0.764693974,0.991570658,0.969700851,0.932559367,0.00656243,0.003061614,0.869666974,0.998141063,SEKER
110,34027,670.16,231.6577053,187.4123657,1.236085487,0.587801025,34334,208.1454347,0.778507367,0.991058426,0.952086748,0.898504258,0.006808056,0.002737054,0.807309902,0.997904053,SEKER
111,34036,666.067,226.9280102,191.1104706,1.187417987,0.539222369,34369,208.1729597,0.753842746,0.990311036,0.964078826,0.917352422,0.006667294,0.002912555,0.841535465,0.999254348,SEKER
112,34053,671.582,232.4361441,186.7914403,1.24436186,0.595136326,34362,208.2249414,0.743986367,0.991007508,0.948783552,0.895837186,0.006825717,0.002711717,0.802524265,0.998630587,SEKER
113,34060,662.146,220.4383774,196.882203,1.119646032,0.449779934,34367,208.2463418,0.789083496,0.991067012,0.976218398,0.944691865,0.00647206,0.003179677,0.892442719,0.99921995,SEKER
114,34097,680.595,227.819142,190.8101712,1.193957013,0.54635901,34502,208.359422,0.762250738,0.98826155,0.925014467,0.914582595,0.006681501,0.00288367,0.836461323,0.998698862,SEKER
115,34104,667.289,229.478736,189.5440417,1.210688207,0.563704561,34421,208.3808087,0.798426745,0.990790506,0.962470112,0.908061515,0.006728792,0.002822136,0.824575715,0.998304094,SEKER
116,34130,666.585,235.5413478,184.7780345,1.274725908,0.620151121,34392,208.4602256,0.795515465,0.992381949,0.965239485,0.885026037,0.006901299,0.002611769,0.783271086,0.998455947,SEKER
117,34131,668.091,224.3380186,193.8042127,1.157549753,0.503674085,34473,208.4632795,0.770625423,0.990079192,0.960920889,0.929237411,0.006572852,0.003023015,0.863482166,0.999523568,SEKER
118,34151,662.129,226.5248185,192.2363364,1.17836629,0.528982779,34389,208.524348,0.778210737,0.993079182,0.978876878,0.920536431,0.006633036,0.002938029,0.847387321,0.998532653,SEKER
119,34179,677.064,225.0605017,193.5928928,1.16254527,0.50998793,34576,208.6098138,0.778015524,0.988518047,0.936935665,0.926905486,0.00658476,0.002998206,0.85915378,0.998805163,SEKER
120,34207,668.737,228.0324687,191.4154535,1.191296024,0.543480298,34515,208.6952446,0.757730817,0.991076344,0.961200851,0.91519969,0.006666252,0.002884861,0.837590472,0.997818199,SEKER
121,34207,661.138,226.8735177,192.1947081,1.180435819,0.531362195,34421,208.6952446,0.774299425,0.993782865,0.983423569,0.919874857,0.006632371,0.002929298,0.846169752,0.998849085,SEKER
122,34222,671.994,223.2982638,195.2383681,1.143721216,0.485315785,34576,208.7409967,0.7843326,0.989761684,0.95232341,0.93480797,0.006524992,0.003073614,0.873865941,0.999459017,SEKER
123,34239,666.439,232.6862934,187.7243461,1.239510475,0.59086546,34510,208.792837,0.769554077,0.992147204,0.968746459,0.897314723,0.006795943,0.002717745,0.805173713,0.998021251,SEKER
124,34253,672.539,228.0042799,191.3685323,1.191440814,0.543637825,34556,208.8355193,0.792893519,0.991231624,0.951641846,0.915928067,0.006656476,0.002889812,0.838924223,0.99952856,SEKER
125,34254,668.704,223.9688286,194.9291861,1.148975344,0.492450072,34575,208.8385677,0.775363303,0.990715835,0.962616531,0.932444792,0.006538472,0.003048938,0.86945329,0.998980392,SEKER
126,34276,689.626,229.5589772,190.4115066,1.205594039,0.558556303,34738,208.9056214,0.763113367,0.986700443,0.905675761,0.910030285,0.006697368,0.002833396,0.828155119,0.998418874,SEKER
127,34291,671.507,230.658067,189.6239312,1.216397453,0.569343533,34619,208.9513274,0.78204251,0.990525434,0.955628131,0.905892129,0.00672649,0.002794308,0.820640549,0.998225074,SEKER
128,34321,669.531,227.9958451,191.8273267,1.188547268,0.540470046,34652,209.0427095,0.787467878,0.990447882,0.962118171,0.916870698,0.006643042,0.00289587,0.840651876,0.999154491,SEKER
129,34327,677.311,231.1581283,189.3043718,1.221092393,0.573880789,34714,209.0609812,0.793596116,0.98885176,0.940306539,0.904406791,0.006734003,0.002779127,0.817951644,0.998794531,SEKER
130,34337,667.785,229.8067605,190.6295846,1.205514668,0.558475195,34583,209.0914304,0.809796708,0.992886678,0.967606759,0.909857612,0.006692686,0.002829267,0.827840875,0.997974317,SEKER
131,34349,674.863,238.2312433,183.7249369,1.296673425,0.636587835,34645,209.1279635,0.783365262,0.991456199,0.947747671,0.877836008,0.006935609,0.002540493,0.770596056,0.999211428,SEKER
132,34394,669.762,230.9211333,189.9052632,1.215980692,0.568936466,34730,209.264906,0.781681818,0.990325367,0.963499612,0.90621808,0.006713995,0.002793133,0.821231209,0.998601293,SEKER
133,34395,665.156,231.7171471,189.1898259,1.224786513,0.577389526,34638,209.2679482,0.791235335,0.992984583,0.97691809,0.903118094,0.006736943,0.002764527,0.815622291,0.998963182,SEKER
134,34410,684.481,232.4579361,188.9396293,1.230329164,0.582555932,34802,209.3135751,0.80069808,0.98873628,0.92293633,0.900436348,0.006755534,0.002739375,0.810785617,0.997533191,SEKER
135,34412,667.199,233.9589857,187.3982909,1.248458481,0.598680683,34677,209.319658,0.787459954,0.992358047,0.971424393,0.894685269,0.006798762,0.002687143,0.80046173,0.999343236,SEKER
136,34421,678.034,232.4039146,189.1497475,1.228676843,0.581027879,34762,209.3470286,0.755708264,0.990190438,0.940871694,0.900789597,0.006751806,0.002742162,0.811421898,0.996975296,SEKER
137,34425,680.503,232.6456666,188.5544051,1.233838406,0.585767825,34791,209.3591921,0.758928571,0.989480038,0.934165286,0.899905832,0.006758044,0.00273394,0.809830506,0.99919998,SEKER
138,34441,675.683,228.6978291,191.9152031,1.191660824,0.543876991,34826,209.4078393,0.790874437,0.988945041,0.947980998,0.915652939,0.006640278,0.002879318,0.838420304,0.999112631,SEKER
139,34443,684.507,234.60733,187.5726238,1.250754642,0.600643034,34874,209.4139194,0.784650082,0.987641223,0.923751269,0.892614563,0.006811466,0.002667327,0.796760758,0.996552217,SEKER
140,34461,675.775,246.7254393,178.1577837,1.384870389,0.691799925,34691,209.4686324,0.770181477,0.993370038,0.948273245,0.84899487,0.007159555,0.00229449,0.72079229,0.998203899,SEKER
141,34469,666.834,230.1579705,190.9936711,1.205055483,0.558005411,34747,209.4929447,0.789667812,0.991999309,0.974098956,0.910213729,0.006677245,0.002827162,0.828489033,0.998375252,SEKER
142,34475,677.676,241.0431821,182.3691135,1.321732487,0.65389796,34878,209.511177,0.776463964,0.988445438,0.943343645,0.869185244,0.006991825,0.002461613,0.755482988,0.99854641,SEKER
143,34483,687.567,233.7407243,188.5878665,1.239426102,0.590790465,35051,209.5354844,0.740677893,0.983795042,0.916610562,0.896444062,0.006778434,0.002700237,0.803611957,0.996017635,SEKER
144,34503,678.24,236.5446412,185.8927694,1.272478978,0.618394789,34885,209.5962405,0.747724515,0.989049735,0.94254029,0.886074778,0.00685577,0.002606859,0.785128512,0.999059527,SEKER
